szeretet	kvíz	palindromok	Így írtok Ti	társasjátékok ünnepe	uralkodók
Ezzel a betűvel kezdődik mind angolul, mind németül a magyar “szeretet” szó?	15 egyre nehezedő kérdésre kell megtalálni a helyes választ a négy lehetőség közül a fődíj megnyeréséhez. Három segítség (vagy más néven mentőöv) áll a játékos rendelkezésére, illetve bármikor megállhat és elviheti az addig összegyűjtött nyeremént	A vágómadár-alakúak rendjén belül a vágómadárfélék családjába tartozó egyes ragadozómadár-fajok összefoglaló elnevezése	Hazádnak rendületlenűl Légy híve, oh magyar	A Ki nevet a végén játékban ezt kell dobni, hogy egy új bábút játékba lehessen hozni a start mezőn keresztül	Magyar jogász és politikus, a Fidesz egyik alapító tagja, Lévai Anikó férje, Magyarország miniszterelnöke
L	Legyen Ön is Milliomos!	sas	Vörösmarty Mihály: Szózat	hatost	Orbán Viktor
Az Oroszlánkirályban szereplő Can You Feel the Love Tonight című dalnak is ő szerezte a zenéjét	Egy játékos küzd tíz másikkal, aki rossz választ ad, leesik	Kosztolányi Dezső egyik legismertebb regényének címszereplőjének a keresztneve	Ej mi a kő! tyúkanyó, kend A szobában lakik itt bent?	A sakkban az egyetlen lépés, amit mindkét játékos legfeljebb csak egyszer léphet a játék során	A tatárjárás alatt uralkodó magyar király
Elton John	Maradj talpon!	Anna	Petőfi Sándor - Anyám tyúkja	sáncolás (vagy rosálás)	IV. Béla
Pál apostol hozzájuk írt levelében szerepel a “szeretet himnusza”	Vikas Swarup Q & A című regényéből készült, a 2009-es Oscar-gálán legjobb filmet nyert angol film	A sík azon pontjainak halmazainak uniója, amelyek egy-egy középponttól azonos távolságokra helyeszkednek el	Edward király, angol király Léptet fakó lován	Az eredeti amerikai monopoliban ennyi pénzzel kezdenek a játékosok	Amerikai üzletember és politikus, az Art of the Deal című könyv szerzője
korintusiak	Gettómilliomos	körök	Arany János - A Walesi bárdok	$1,500	Donald Trump
A Dr. Ed weboldal felmérése szerint Európában és az Egyesült Államokban ez a legnépszerűbb szexuális pozíció	Magyar fejlesztésű, azonos nevű internetes kvízjáték alapján készült	Ilyen állapotba kerül valaki, ha a vérkeringése hirtelen súlyosan elégtelenné válik	Veszekedtem a kisfiammal, mint törpével egy óriás	A go játékban ez a játékos kezd	2016 november 25-én elhunyt kommunista politikus, Kuba 15. Elnöke
kutya	Honfoglaló	sokkos	Szabó Lőrinc - Lóci óriás lesz	fekete	Fidel Castro
Ebben az évben írta József Attila az Óda című költeményét	Brad Rutter nyerte valaha amerikai kvíz játékokban a legtöbb pénzt. Ebben a játékban összesen több, mint 4 millió amerikai dollárral tért haza	Nem lombhullatót	Mióta készülök, hogy elmondjam neked szerelmem rejtett csillagrendszerét; egy képben csak talán, s csupán a lényeget	Ő tervezte a Pandemic nevű játékot	1888 és 1918 között a Német Birodalom császára és Poroszország királya
1933	Jeopardy!	tűlevelűt	Radnóti Miklós - Tétova Óda	Matt Leacock	II. Vilmos
főbb szerepekben	fővárosok	(telefon) számok	b.kk	Zsigmond	kerékpáros kresz
Anthony Daniels, Alec Guinness, Peter Cushing, Carrie Fisher, Harrison Ford, Mark Hamill	Mexikó	Egységes európai segélyhívószám	40 m magasra is megnövő, egyenes, hengeres törzsű fa, illetve az Északi-középhegységben található földrajzi középtáj	Tiszacsécsén született magyar író, 20. századi realista prózairodalom legismertebb alakja	Ilyen alakú a biciklivel behajtani tilos tábla
Csillagok háborúja	Mexikóváros	112	bükk	Móricz Zsigmond	kör
Colin Firth, Liam Neeson, Emma Thompson, Keira Knightley, Alan Rickman, Rowan Atkinson, Hugh Grant	Finnország	Magyarország nemzetközi előhívószáma	A reneszánsz után következő stílustörténeti korszak	A pszichoanalitikus iskola megalapítója	Ez a két szín szerepel a kerékpárutat jelző táblán
Love Actually	Helsinki	36	barokk	Sigmund Freud	kék és fehér
Michael Caine, Marion Cotillard, Ken Watanabe, Tom Hardy, Ellen Page, Joseph Gordon-Levitt, Leonardo DiCaprio	Irak	Amerikai filmekben a fiktív telefonszámok gyakran ezzel a három számmal kezdődnek	Üres vagy sorszámozott, nyomtatott űrlapokból álló tömb, vagy az ebből leválasztott, kiszakított sorszámozott papírlap, vagy fizetési nyugtaként vagy átvételi elismervényként használt űrlap	Magyar, német és cseh király, német-római császár	Egyirányú utcába kerékpárral ilyen esetben lehet csak behajtani
Inception	Bagdad	555	blokk	Luxemburgi Zsigmond	ha kiegészítő tábla engedi
David Andrews, Helena Bonham Carter, Brad Pitt, Edward Norton	Ausztrália	Az Android legújabb, “Pie” kódnevű verziójának verziószáma	Általában fából készült, földszintes, ideiglenes, tipikusan katonai célokra használt épület	A magyar romantikus regényirodalom Jókai Mór melletti legnagyobb alakja,  1867-től 1876-ig a Kisfaludy Társaság második elnöke, A rajongók szerzője	Járdán tilos kerékpározni, kivéve 12 éven aluliaknak illetve lakott területen levő olyan úton, ahol az úttest kerékpáros közlekedésre alkalmatlan. De csak a gyalogos forgalom zavarása nélkül és legfeljebb ekkora sebességgel
Fight club	Canberra	9	barakk	Kemény Zsigmond	10 km/h
John Marley, Diane Keaton, Robert Duvall, James Caan, Al Pacino, Marlon Brando	Észak-Korea	Ebben az évben szabadalmaztatta Graham Bell a telefont	Az egyik legrégebben használt valódi szintetikus műanyagból készült oldat, amely a tárgyak felületére felvíve illóanyagai elpárolgása után összefüggő fényes bevonatot alkot	Gróf, magyar vadász, utazó, író. Vadászkönyvtára Magyarország legjelentősebb vadászati szakkönyvgyűjteménye, mely jelenleg a Magyar Természettudományi Múzeumban tekinthető meg	Ilyen esetben kötelező a bukósisak viselése
Keresztapa	Phenjan / Phjongjang	1876	bakelitlakk	Széchenyi Zsigmond	lakott területen kívül 40 km/óra feletti sebességgel
	Kategória (sorszám, 1-6-ig)	Kérdés (sorszám, 1-5-ig)		Nyári olimpiai játékok	
Daily Double (első kör)	3	4		Négyszer nyerte meg a nyári olimpiai játékok megrendezésének jogát, de végül csak háromszor rendezték itt meg az olimpiát	
Daily Double (második kör)	2	3		London	
Daily Double (második kör)	5	5			